id,artwork_id,artwork_color_id,device_color_id,image_1,image_2,image_3,image_4,image_5
125,5,15,4,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_gold_16000095.png.350x350-w.m80.jpg,,,,
126,5,16,4,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_gold_16000096.png.350x350-w.m80.jpg,,,,
127,5,17,4,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_gold_16000097.png.350x350-w.m80.jpg,,,,
128,5,18,4,https://cdn-image02.casetify.com/usr/8746/1688746/~v14/6705276_iphone11-pro-max__color_gold_16000098.png.350x350-w.m80.jpg,,,,
129,6,11,1,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_midnight-green_16000091.png.350x350-w.m80.jpg,,,,
130,6,12,1,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_midnight-green_16000092.png.350x350-w.m80.jpg,,,,
131,6,13,1,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_midnight-green_16000093.png.350x350-w.m80.jpg,,,,
132,6,14,1,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_midnight-green_16000094.png.350x350-w.m80.jpg,,,,
133,6,15,1,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_midnight-green_16000095.png.350x350-w.m80.jpg,,,,
134,6,16,1,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_midnight-green_16000096.png.350x350-w.m80.jpg,,,,
135,6,17,1,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_midnight-green_16000097.png.350x350-w.m80.jpg,,,,
136,6,18,1,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_midnight-green_16000098.png.350x350-w.m80.jpg,,,,
137,6,11,2,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_space-gray_16000091.png.350x350-w.m80.jpg,,,,
138,6,12,2,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_space-gray_16000092.png.350x350-w.m80.jpg,,,,
139,6,13,2,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_space-gray_16000093.png.350x350-w.m80.jpg,,,,
140,6,14,2,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_space-gray_16000094.png.350x350-w.m80.jpg,,,,
141,6,15,2,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_space-gray_16000095.png.350x350-w.m80.jpg,,,,
142,6,16,2,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_space-gray_16000096.png.350x350-w.m80.jpg,,,,
143,6,17,2,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_space-gray_16000097.png.350x350-w.m80.jpg,,,,
144,6,18,2,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_space-gray_16000098.png.350x350-w.m80.jpg,,,,
